[05/02/17 15:45:54] [WARNING] mysql_connect_file: no password specified (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:1971 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:5 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] CConnection::CConnection - establishing connection to MySQL database failed: #1049 'Unknown database 'la-rp''
[05/02/17 15:45:54] [ERROR] CConnection::CConnection - establishing connection to MySQL database failed: #1049 'Unknown database 'la-rp''
[05/02/17 15:45:54] [ERROR] CConnection::CConnection - establishing connection to MySQL database failed: #1049 'Unknown database 'la-rp''
[05/02/17 15:45:54] [ERROR] CConnection::CConnection - establishing connection to MySQL database failed: #1049 'Unknown database 'la-rp''
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3039 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:18 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3192 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:21 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3192 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:21 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3192 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:21 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3192 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:21 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
[05/02/17 15:45:54] [ERROR] cache_get_row_count: no active cache (D:\SA-MP\TeamGrand\gamemodes\larp.pwn:3192 -> D:\SA-MP\TeamGrand\pawno\include\ProjectInc\onevent.inc:21 -> D:\SA-MP\TeamGrand\pawno\include\sscanf2.inc:204)
